Team,"Tiebreaker",Option_A,Option_B,Option_C
Load Bearing Balls,15,Orange,Coral,Poppy
Piper Throw,0,Forest,Team Purple,True Royal
Holding Space Serving Face,46,Black Heather,Dark Grey Heather,Heather Midnight Navy
Throwing Backshots,77,Heather Team Purple,Heather Prism Ice Blue,Heather Prism Mint
PokeHoes,0,White,White,White
America's Next Top,25,Deep Teal,Red,Berry
K-Pop Dodgeball Hunters,8,Heather Deep Teal,Heather Team Purple,Deep Teal
Bad Girls Club,8,Berry,Cardinal,Charity Pink
Divine Daddies,24,Gold,Dark Grey,Red
No Dodge Reflex,89,Black,Heather Prism Dusty Blue,Heather Storm
"Duck Me, Daddy",42,Yellow,Yellow,Yellow
Blastphemous Boys,19,Cardinal,Maroon,Baby Blue
Skibidi Slingers,17,Maize Yellow,Gold,Heather Yellow Gold
Mighty Moaning Power Bottoms,36,Vintage Black,Black Heather,Kelly
Valkyrie,5,Evergreen,Leaf,Heather Dusty Blue
Holey Spirits,17,Team Purple,Heather Team Purple,Maroon
Dodging Feelings,0,Black,Black,Black